"subject_id","treatment_id","paper_id","choice","endowment","cooperation","gender","age"
"2020Bas115_1a_hkui11","2020Bas115_1a","2020Bas115",5,10,0.5,0,22
"2020Bas115_1a_hlwu17","2020Bas115_1a","2020Bas115",5,10,0.5,0,24
"2020Bas115_1a_hsms10","2020Bas115_1a","2020Bas115",5,10,0.5,0,23
"2020Bas115_1a_iada30","2020Bas115_1a","2020Bas115",5,10,0.5,0,23
"2020Bas115_1a_iamo07","2020Bas115_1a","2020Bas115",3,10,0.3,1,20
"2020Bas115_1a_iana07","2020Bas115_1a","2020Bas115",5,10,0.5,1,21
"2020Bas115_1a_ibje31","2020Bas115_1a","2020Bas115",5,10,0.5,1,19
"2020Bas115_1a_icml11","2020Bas115_1a","2020Bas115",5,10,0.5,0,31
"2020Bas115_1a_idfa15","2020Bas115_1a","2020Bas115",5,10,0.5,1,23
"2020Bas115_1a_idte12","2020Bas115_1a","2020Bas115",5,10,0.5,1,26
"2020Bas115_1a_iduh08","2020Bas115_1a","2020Bas115",5,10,0.5,0,25
"2020Bas115_1a_ihti25","2020Bas115_1a","2020Bas115",0,10,0,0,24
"2020Bas115_1a_ijpa04","2020Bas115_1a","2020Bas115",4,10,0.4,0,34
"2020Bas115_1a_ikpu19","2020Bas115_1a","2020Bas115",5,10,0.5,1,22
"2020Bas115_1a_iktu28","2020Bas115_1a","2020Bas115",5,10,0.5,1,22
"2020Bas115_1a_ilva15","2020Bas115_1a","2020Bas115",0,10,0,0,24
"2020Bas115_1a_imko08","2020Bas115_1a","2020Bas115",5,10,0.5,1,18
"2020Bas115_1a_immo26","2020Bas115_1a","2020Bas115",5,10,0.5,1,21
"2020Bas115_1a_isma31","2020Bas115_1a","2020Bas115",5,10,0.5,0,22
"2020Bas115_1a_lbni25","2020Bas115_1a","2020Bas115",5,10,0.5,1,26
"2020Bas115_1a_lbpo06","2020Bas115_1a","2020Bas115",4,10,0.4,1,23
"2020Bas115_1a_leao21","2020Bas115_1a","2020Bas115",4,10,0.4,0,33
"2020Bas115_1a_llla15","2020Bas115_1a","2020Bas115",2,10,0.2,1,22
"2020Bas115_1a_lmme07","2020Bas115_1a","2020Bas115",3,10,0.3,1,19
"2020Bas115_1a_lowu09","2020Bas115_1a","2020Bas115",5,10,0.5,1,33
"2020Bas115_1a_lpoe28","2020Bas115_1a","2020Bas115",5,10,0.5,1,20
"2020Bas115_1a_mnso03","2020Bas115_1a","2020Bas115",5,10,0.5,1,30
"2020Bas115_1a_nebv16","2020Bas115_1a","2020Bas115",4,10,0.4,1,64
"2020Bas115_1a_neta02","2020Bas115_1a","2020Bas115",5,10,0.5,1,25
"2020Bas115_1a_nfka07","2020Bas115_1a","2020Bas115",5,10,0.5,1,30
"2020Bas115_1a_ngwi08","2020Bas115_1a","2020Bas115",5,10,0.5,1,28
"2020Bas115_1a_nibu28","2020Bas115_1a","2020Bas115",5,10,0.5,1,50
