"","treatment_id","scenarios","subject_id","paper_id","Game_type","choice","A","endowment","female","age","Design","mean_app","sd_app"
"122","2007Lis165_1a",2.5,"2007Lis165_1a_21","2007Lis165","DG",2.5,1,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"123","2007Lis165_1a",2.5,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"124","2007Lis165_1a",2.5,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"125","2007Lis165_1a",2.5,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"126","2007Lis165_1a",2.5,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"127","2007Lis165_1a",2.5,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"128","2007Lis165_1a",2.5,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"129","2007Lis165_1a",2.5,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"130","2007Lis165_1a",2.5,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"131","2007Lis165_1a",2.5,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"132","2007Lis165_1a",2.5,"2007Lis165_1a_18","2007Lis165","DG",2.5,1,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"133","2007Lis165_1a",2.5,"2007Lis165_1a_22","2007Lis165","DG",2.5,1,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"134","2007Lis165_1a",2.5,"2007Lis165_1a_20","2007Lis165","DG",2.5,1,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"135","2007Lis165_1a",2.5,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"136","2007Lis165_1a",2.5,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"137","2007Lis165_1a",2.5,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"138","2007Lis165_1a",2.5,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"139","2007Lis165_1a",2.5,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"140","2007Lis165_1a",2.5,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"141","2007Lis165_1a",2.5,"2007Lis165_1a_17","2007Lis165","DG",2.5,1,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"142","2007Lis165_1a",2.5,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"143","2007Lis165_1a",2.5,"2007Lis165_1a_19","2007Lis165","DG",2.5,1,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"144","2007Lis165_1a",2.5,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.714285714285714,0.755928946018454
"145","2007Lis165_1a",3,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"146","2007Lis165_1a",3,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"147","2007Lis165_1a",3,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"148","2007Lis165_1a",3,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"149","2007Lis165_1a",3,"2007Lis165_1a_23","2007Lis165","DG",3,1,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"150","2007Lis165_1a",3,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"151","2007Lis165_1a",3,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"152","2007Lis165_1a",3,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"153","2007Lis165_1a",3,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"154","2007Lis165_1a",3,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"155","2007Lis165_1a",3,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"156","2007Lis165_1a",3,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"157","2007Lis165_1a",3,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"158","2007Lis165_1a",3,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"159","2007Lis165_1a",3,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"160","2007Lis165_1a",3,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"161","2007Lis165_1a",3,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"162","2007Lis165_1a",3,"2007Lis165_1a_17","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"163","2007Lis165_1a",3,"2007Lis165_1a_5","2007Lis165","DG",0,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"164","2007Lis165_1a",3,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"165","2007Lis165_1a",3,"2007Lis165_1a_4","2007Lis165","DG",0,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"166","2007Lis165_1a",3,"2007Lis165_1a_15","2007Lis165","DG",2,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"167","2007Lis165_1a",3,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"168","2007Lis165_1a",3,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.481111112568114,0.554672078748361
"169","2007Lis165_1a",3.5,"2007Lis165_1a_1","2007Lis165","DG",0,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"170","2007Lis165_1a",3.5,"2007Lis165_1a_2","2007Lis165","DG",0,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"171","2007Lis165_1a",3.5,"2007Lis165_1a_24","2007Lis165","DG",5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"172","2007Lis165_1a",3.5,"2007Lis165_1a_13","2007Lis165","DG",1,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"173","2007Lis165_1a",3.5,"2007Lis165_1a_23","2007Lis165","DG",3,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"174","2007Lis165_1a",3.5,"2007Lis165_1a_8","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"175","2007Lis165_1a",3.5,"2007Lis165_1a_22","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"176","2007Lis165_1a",3.5,"2007Lis165_1a_11","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"177","2007Lis165_1a",3.5,"2007Lis165_1a_21","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"178","2007Lis165_1a",3.5,"2007Lis165_1a_12","2007Lis165","DG",1,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"179","2007Lis165_1a",3.5,"2007Lis165_1a_10","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"180","2007Lis165_1a",3.5,"2007Lis165_1a_20","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"181","2007Lis165_1a",3.5,"2007Lis165_1a_9","2007Lis165","DG",0.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"182","2007Lis165_1a",3.5,"2007Lis165_1a_3","2007Lis165","DG",0,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"183","2007Lis165_1a",3.5,"2007Lis165_1a_14","2007Lis165","DG",1,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"184","2007Lis165_1a",3.5,"2007Lis165_1a_6","2007Lis165","DG",0,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"185","2007Lis165_1a",3.5,"2007Lis165_1a_19","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"186","2007Lis165_1a",3.5,"2007Lis165_1a_7","2007Lis165","DG",0,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"187","2007Lis165_1a",3.5,"2007Lis165_1a_18","2007Lis165","DG",2.5,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
"188","2007Lis165_1a",3.5,"2007Lis165_1a_16","2007Lis165","DG",2,0,5,NA,NA,"Between",0.222499998907248,0.685447767814286
